user_id,Day,AI,Human,cos_AI_Human,cos_diary_AI,cos_diary_Human
106610,day1,50.4,21.8,0.246,0.506,0.266
106610,day2,63.8,19.8,0.273,0.358,0.195
106610,day3,71.8,42.8,0.521,0.127,0.071
113407,day1,69.2,82.6,0.371,0.272,0.429
113407,day2,82.4,75.6,0.431,0.223,0.26
113407,day3,68.2,67.0,0.513,0.207,0.267
148287,day1,62.6,26.8,0.743,0.12,0.143
148287,day2,63.2,19.2,0.309,0.05,0.065
148287,day3,65.2,18.8,0.502,0.122,0.207
367640,day1,112.4,180.0,0.512,0.154,0.182
367640,day2,87.0,120.2,0.234,0.155,0.151
367640,day3,86.4,123.0,0.292,0.15,0.223
1103016,day1,47.6,12.8,0.296,0.27,0.163
1103016,day2,73.0,16.8,0.183,0.246,0.255
1103016,day3,79.8,20.6,0.554,0.331,0.25
1127132,day1,48.2,35.4,0.629,0.326,0.366
1127132,day2,58.0,35.0,0.569,0.221,0.341
1127132,day3,68.0,24.4,0.681,0.16,0.142
1220629,day1,55.0,26.6,0.364,0.285,0.151
1220629,day2,88.8,36.2,0.345,0.19,0.201
1220629,day3,74.6,46.8,0.351,0.138,0.142
1264394,day1,76.2,45.4,0.377,0.244,0.279
1264394,day2,72.8,22.8,0.436,0.36,0.333
1264394,day3,70.8,24.8,0.442,0.3,0.281
1335657,day1,67.0,18.6,0.353,0.174,0.173
1335657,day2,75.0,27.6,0.431,0.124,0.034
1335657,day3,69.4,25.2,0.276,0.169,0.275
1359285,day1,62.6,22.8,0.493,0.103,0.101
1359285,day2,61.125,27.75,0.599,0.183,0.188
1359285,day3,65.0,21.6,0.44,0.182,0.188
1414611,day1,72.8,74.8,0.422,0.221,0.291
1414611,day2,77.8,108.6,0.441,0.208,0.391
1414611,day3,80.2,98.0,0.499,0.387,0.234
1454035,day1,55.4,37.6,0.402,0.216,0.412
1454035,day2,73.2,54.2,0.689,0.319,0.372
1454035,day3,63.8,54.4,0.472,0.119,0.327
1610899,day1,83.2,51.6,0.455,0.311,0.361
1610899,day2,79.8,84.6,0.339,0.251,0.398
1610899,day3,82.4,89.2,0.405,0.277,0.325
2141268,day1,83.8,136.4,0.325,0.18,0.233
2141268,day2,65.2,112.6,0.414,0.213,0.238
2141268,day3,83.6,97.0,0.292,0.14,0.124
2579314,day1,73.4,94.0,0.272,0.289,0.329
2579314,day2,67.6,35.2,0.51,0.161,0.195
2579314,day3,77.4,33.2,0.334,0.204,0.109
3153377,day1,52.8,37.2,0.526,0.261,0.233
3153377,day2,74.8,30.6,0.479,0.353,0.353
3153377,day3,71.25,34.5,0.364,0.137,0.314
3158965,day1,54.3,22.1,0.424,0.327,0.235
3158965,day2,70.571,41.143,0.548,0.396,0.4
3158965,day3,70.0,68.25,0.401,0.181,0.378
3312891,day1,79.8,79.2,0.505,0.103,0.307
3312891,day2,72.0,69.6,0.684,0.124,0.215
3312891,day3,79.4,76.6,0.592,0.227,0.361
3536109,day1,43.6,29.8,0.503,0.175,0.106
3536109,day2,69.8,40.2,0.351,0.166,0.095
3536109,day3,81.2,31.6,0.333,0.177,0.195
3602839,day1,57.4,25.4,0.515,0.15,0.074
3602839,day2,77.0,31.4,0.569,0.165,0.126
3602839,day3,68.8,35.6,0.628,0.132,0.159
3954203,day1,64.2,29.2,0.653,0.187,0.146
3954203,day2,85.6,51.6,0.522,0.253,0.287
3954203,day3,76.8,62.2,0.596,0.182,0.347
4002112,day1,90.4,48.0,0.487,0.22,0.241
4002112,day2,78.429,54.714,0.361,0.149,0.243
4002112,day3,79.0,46.6,0.464,0.185,0.249
4340461,day1,63.2,19.6,0.484,0.306,0.155
4340461,day2,96.0,17.2,0.591,0.129,0.077
4340461,day3,76.6,17.6,0.564,0.104,0.015
4548801,day1,82.2,35.8,0.46,0.27,0.304
4548801,day2,74.2,19.4,0.443,0.219,0.17
4548801,day3,68.6,22.8,0.667,0.23,0.339
4556406,day1,60.9,21.6,0.587,0.411,0.278
4556406,day2,69.8,20.4,0.276,0.202,0.185
4556406,day3,67.6,30.4,0.61,0.227,0.243
4562747,day1,58.0,36.0,0.429,0.274,0.329
4562747,day2,69.333,17.778,0.289,0.333,0.351
4562747,day3,60.4,30.8,0.782,0.434,0.38
4587175,day1,78.6,35.6,0.405,0.335,0.183
4587175,day2,76.0,39.4,0.573,0.343,0.269
4587175,day3,87.8,96.4,0.611,0.442,0.372
4651532,day1,62.6,13.2,0.342,0.4,0.073
4651532,day2,71.4,24.6,0.172,0.335,0.175
4651532,day3,69.0,15.25,0.27,0.198,0.147
4658590,day1,78.2,35.4,0.432,0.249,0.144
4658590,day2,71.2,35.8,0.417,0.276,0.224
4658590,day3,77.8,39.0,0.554,0.131,0.163
4733003,day1,77.8,23.8,0.384,0.205,0.143
4733003,day2,84.4,29.2,0.243,0.282,0.152
4733003,day3,90.4,25.4,0.408,0.133,0.133
4802537,day1,76.8,65.6,0.56,0.186,0.192
4802537,day2,62.6,49.6,0.576,0.222,0.292
4802537,day3,77.6,66.2,0.337,0.206,0.28
4815918,day1,60.4,120.8,0.234,0.161,0.207
4815918,day2,79.6,51.0,0.288,0.116,0.179
4815918,day3,73.75,41.0,0.401,0.181,0.194
4921532,day1,60.125,36.5,0.533,0.177,0.211
4921532,day2,77.4,45.6,0.538,0.337,0.253
4921532,day3,80.0,38.4,0.37,0.357,0.247
5054908,day1,81.2,36.2,0.347,0.203,0.247
5054908,day2,73.6,47.4,0.4,0.214,0.224
5054908,day3,85.889,47.333,0.606,0.331,0.344
5109125,day1,53.4,29.8,0.302,0.062,0.082
5109125,day2,56.75,41.25,0.613,0.155,0.124
5109125,day3,53.0,16.6,0.321,0.14,0.123
5138531,day1,46.6,43.8,0.658,0.156,0.254
5138531,day2,64.4,51.0,0.46,0.093,0.407
5138531,day3,65.4,46.8,0.526,0.147,0.348
5196867,day1,48.6,41.6,0.507,0.227,0.293
5196867,day2,80.2,52.8,0.599,0.197,0.125
5196867,day3,77.0,57.4,0.382,0.307,0.324
5208842,day1,70.0,46.6,0.292,0.181,0.297
5208842,day2,77.25,36.75,0.18,0.162,0.25
5208842,day3,76.8,36.8,0.517,0.305,0.246
5218071,day1,68.6,25.4,0.634,0.34,0.291
5218071,day2,76.0,37.8,0.456,0.083,0.265
5218071,day3,76.0,51.4,0.533,0.299,0.433
5261619,day1,71.6,75.4,0.527,0.389,0.376
5261619,day2,77.6,72.4,0.581,0.171,0.147
5261619,day3,88.4,102.8,0.517,0.223,0.35
5289773,day1,34.2,22.0,0.7,0.222,0.125
5289773,day2,79.6,32.0,0.392,0.156,0.13
5289773,day3,93.2,25.8,0.432,0.367,0.182
5348603,day1,69.4,21.0,0.39,0.254,0.115
5348603,day2,71.0,12.4,0.651,0.086,0.258
5348603,day3,62.6,14.8,0.261,0.196,0.326
5372982,day1,73.0,53.6,0.447,0.152,0.138
5372982,day2,73.4,64.0,0.46,0.15,0.13
5372982,day3,81.0,59.833,0.455,0.329,0.27
5664835,day1,83.6,71.2,0.414,0.228,0.127
5664835,day2,71.8,40.4,0.546,0.08,0.148
5664835,day3,70.8,47.6,0.514,0.109,0.093
5957432,day1,76.0,13.333,0.247,0.383,0.109
5957432,day2,56.8,11.8,0.317,0.248,0.044
5957432,day3,67.4,21.2,0.324,0.227,0.189
