user_id,before,after,day1,day2,day3,group
1041184,109.8,104.0,106,105,101,groupb
1065632,250.2,248.3,177,323,245,groupa
106610,141.2,123.7,134,119,118,groupc
109960,171.0,147.7,145,153,145,groupb
1103016,104.8,105.0,102,106,107,groupc
1117797,118.5,110.0,114,113,103,groupb
1127132,173.5,143.3,165,130,135,groupc
113407,133.0,129.7,133,140,116,groupc
114735,417.0,509.7,408,484,637,groupb
1147884,211.5,214.3,223,220,200,groupb
115345,234.8,246.3,205,263,271,groupa
1264394,162.0,130.7,159,117,116,groupc
1335657,139.2,120.3,123,121,117,groupc
1359285,111.2,118.0,125,117,112,groupc
1414611,547.0,383.0,401,487,261,groupc
1452004,152.8,151.3,149,124,181,groupa
1454035,234.5,189.0,231,166,170,groupc
1472598,111.2,121.7,119,119,127,groupa
148287,123.2,113.3,103,118,119,groupc
1610899,221.8,133.7,137,135,129,groupc
1641297,178.2,136.3,135,133,141,groupb
1743130,110.2,121.0,129,102,132,groupa
1778742,176.5,175.3,157,164,205,groupa
1822057,164.5,144.0,156,147,129,groupb
2106307,228.5,154.3,126,153,184,groupa
2141268,217.0,216.7,217,220,213,groupc
2268853,279.0,220.0,173,301,186,groupb
2331402,173.8,131.0,145,132,116,groupb
2503650,183.2,157.7,151,182,140,groupb
2511054,170.5,156.0,161,138,169,groupb
2511924,439.8,533.3,373,531,696,groupb
2579314,266.8,266.3,223,324,252,groupc
2600289,111.5,131.0,140,125,128,groupa
2658832,102.8,105.3,112,101,103,groupb
2810580,137.2,119.3,142,107,109,groupa
2848289,164.5,156.3,138,228,103,groupb
2884266,155.0,163.3,156,165,169,groupb
2933157,162.5,116.0,113,110,125,groupb
2977582,185.2,128.0,122,146,116,groupa
3045407,151.8,140.3,138,140,143,groupb
3153377,292.5,281.7,245,300,300,groupc
3158965,229.0,239.0,220,255,242,groupc
3266322,122.8,139.7,130,149,140,groupb
3312891,205.2,198.3,236,169,190,groupc
3327831,174.2,165.3,153,194,149,groupb
3536109,182.5,163.7,164,161,166,groupc
3551128,276.2,222.7,360,156,152,groupb
3564821,113.8,111.0,119,109,105,groupb
3602839,252.5,299.3,377,273,248,groupc
367640,286.8,152.0,132,154,170,groupc
3836202,176.2,144.0,147,159,126,groupb
3954203,218.5,213.3,173,289,178,groupc
3982463,125.2,118.0,107,117,130,groupb
3985102,267.5,251.3,291,234,229,groupb
3989245,241.5,199.3,155,220,223,groupb
4002112,142.2,145.7,145,152,140,groupc
4006340,111.0,122.7,134,116,118,groupa
4008717,271.5,343.3,314,334,382,groupa
4011894,143.0,124.0,117,135,120,groupa
4150657,122.5,134.7,144,142,118,groupa
4173223,117.0,143.7,153,148,130,groupa
4175095,205.8,159.7,193,133,153,groupb
4213579,135.0,118.7,132,115,109,groupa
4340461,146.0,161.7,161,155,169,groupc
4362605,255.2,290.7,279,315,278,groupb
4409144,185.8,196.3,191,211,187,groupa
4495877,174.5,204.3,226,227,160,groupb
4548801,125.0,138.3,124,135,156,groupc
4550563,130.8,126.3,126,122,131,groupb
4551146,194.8,180.7,188,164,190,groupa
4556406,152.5,153.7,136,133,192,groupc
4562747,114.8,117.7,105,111,137,groupc
4587175,331.5,234.3,244,187,272,groupc
4651532,125.2,120.3,105,121,135,groupc
4658590,145.8,144.7,155,155,124,groupc
4680788,119.2,126.3,118,132,129,groupb
4733003,162.8,152.3,149,158,150,groupc
4758400,114.8,110.7,108,109,115,groupa
4802537,204.8,179.0,166,168,203,groupc
4815918,458.8,284.0,339,270,243,groupc
4921532,279.0,236.3,238,263,208,groupc
4923339,181.8,141.3,144,125,155,groupa
4999612,135.8,165.3,147,146,203,groupb
5012138,133.0,128.7,140,121,125,groupb
5024777,192.0,189.3,202,204,162,groupb
5054908,159.5,133.7,129,157,115,groupc
5109125,206.0,174.3,201,138,184,groupc
5134695,185.2,151.0,153,166,134,groupb
5138531,119.2,133.0,150,119,130,groupc
5162881,152.5,127.0,119,115,147,groupb
5196867,188.2,161.0,188,164,131,groupc
5208842,240.8,214.7,243,179,222,groupc
5218071,127.8,119.7,103,106,150,groupc
5231896,154.5,150.0,149,140,161,groupb
5261619,156.0,173.7,202,175,144,groupc
5289773,147.0,143.7,135,153,143,groupc
5348603,109.2,118.7,119,104,133,groupc
5372982,300.0,280.7,351,278,213,groupc
5479130,205.0,177.3,172,179,181,groupa
5517900,205.0,207.0,182,250,189,groupa
5596175,160.8,137.3,148,127,137,groupa
5612737,139.2,110.3,114,107,110,groupb
5616595,224.2,231.3,216,241,237,groupa
5664835,177.0,143.7,191,131,109,groupc
5704605,222.5,234.0,229,197,276,groupb
5859850,109.8,104.3,106,102,105,groupa
5957432,118.8,110.0,106,106,118,groupc
603644,169.8,172.3,168,178,171,groupb
707767,186.2,189.0,247,147,173,groupb
727067,145.0,146.0,144,154,140,groupb
769122,165.5,141.0,153,127,143,groupb
776557,141.0,153.3,167,145,148,groupa
877724,243.0,212.3,261,175,201,groupa
878721,126.0,159.3,119,171,188,groupa
94338,162.5,123.3,141,120,109,groupa
95866,136.2,158.3,167,140,168,groupa
KoHaRu09,122.2,117.7,106,110,137,groupa
SGヘルスケア,177.8,180.3,168,160,213,groupa
Togotogo,152.5,190.3,174,208,189,groupa
Yuko_office,198.0,170.7,118,208,186,groupa
acu9751cw,141.5,155.3,124,210,132,groupa
akimi381,117.2,128.0,116,128,140,groupa
khi1_b4aa,537.5,419.3,442,452,364,groupa
makimaki0519,153.0,127.0,120,126,135,groupa
mor2kir1500,143.8,137.7,120,161,132,groupa
naotok24,132.5,122.3,117,127,123,groupa
quartet456,152.0,136.0,104,139,165,groupa
rdkny933,150.5,128.3,128,127,130,groupa
shigenoi,111.5,107.0,107,108,106,groupa
tamachi3,119.5,109.7,114,109,106,groupa
ys15_cw,214.8,201.7,257,182,166,groupa
yume43,108.5,110.0,111,103,116,groupa
にゃすも,113.8,105.0,108,102,105,groupa
